date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:47	7789/7789	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2017:24:45%20GMT	https://karafuru.io/claim	C:/My%20Web%20Sites/karafuru.io/karafuru.io/claim.html	(from )
00:24:47	109/109	---MCZ	200	added ('OK')	text/plain	etag:W/%22a2-182df37945b%22	https://karafuru.io/robots.txt		(from )
00:24:48	661772/661772	---MCZ	200	added ('OK')	text/css	etag:W/%22a1adf-182d84fc730%22	https://karafuru.io/_next/static/css/13cbd3732a0844ad.css	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/css/13cbd3732a0844ad.css	(from https://karafuru.io/claim)
00:24:48	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-182df373dab%22	https://karafuru.io/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://karafuru.io/claim)
00:24:48	3262/3262	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cbe-182d84fc738%22	https://karafuru.io/_next/static/chunks/webpack-6596f852cedb575f.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/webpack-6596f852cedb575f.js	(from https://karafuru.io/claim)
00:24:48	130001/130001	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fbd1-180f6acaae0%22	https://karafuru.io/_next/static/chunks/framework-bb5c596eafb42b22.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/framework-bb5c596eafb42b22.js	(from https://karafuru.io/claim)
00:24:48	100192/100192	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218760-18257bd7291%22	https://karafuru.io/_next/static/chunks/main-1d8adce4d7e8417e.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/main-1d8adce4d7e8417e.js	(from https://karafuru.io/claim)
00:24:49	568388/568388	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ac4d-180f6acaad0%22	https://karafuru.io/_next/static/chunks/pages/_app-25c68f7c37b690f6.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/pages/_app-25c68f7c37b690f6.js	(from https://karafuru.io/claim)
00:24:49	268671/268671	---MCZ	200	added ('OK')	application/javascript	etag:W/%224197f-180f6acaae0%22	https://karafuru.io/_next/static/chunks/ea88be26-83536c36dc25a69f.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/ea88be26-83536c36dc25a69f.js	(from https://karafuru.io/claim)
00:24:50	580486/580486	---MCZ	200	added ('OK')	application/javascript	etag:W/%228db86-18257bd7299%22	https://karafuru.io/_next/static/chunks/182-a50f30a60fadadf2.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/182-a50f30a60fadadf2.js	(from https://karafuru.io/claim)
00:24:50	17746/17746	---MCZ	200	added ('OK')	application/javascript	etag:W/%224552-18257bd729d%22	https://karafuru.io/_next/static/chunks/44-9c80b51157c05768.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/44-9c80b51157c05768.js	(from https://karafuru.io/claim)
00:24:50	29433/29433	---MCZ	200	added ('OK')	application/javascript	etag:W/%2272f9-181ec35e943%22	https://karafuru.io/_next/static/chunks/261-77bcbb6c26cfaccc.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/261-77bcbb6c26cfaccc.js	(from https://karafuru.io/claim)
00:24:50	101676/101676	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218d2c-182df373db3%22	https://karafuru.io/_next/static/chunks/124-800220b1c856103f.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/124-800220b1c856103f.js	(from https://karafuru.io/claim)
00:24:50	28483/28483	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f43-182d84fc730%22	https://karafuru.io/_next/static/chunks/pages/claim-4e9592eca1ea81b2.js	C:/My%20Web%20Sites/karafuru.io/karafuru.io/_next/static/chunks/pages/claim-4e9592eca1ea81b2.js	(from https://karafuru.io/claim)
